inv_id,acct_id,inv_total,inv_items,acct_age,number_of_inv120,cum_tot_inv_acct,is_late
266,6,20068.74,2,641,16,37,0
267,6,73215.39,2,424,8,8,0
268,6,251862.80,7,413,4,4,1
269,6,121698.91,4,419,5,5,0
270,6,144193.28,4,621,16,35,1
271,6,28362.18,2,509,19,20,0
272,6,56798.66,3,612,14,33,1
273,7,30404.50,3,1062,7,7,0
274,7,110605.43,4,1336,11,28,0
275,7,102434.59,4,1014,2,2,0
276,7,169893.01,6,1307,11,25,0
277,7,139102.86,5,1060,6,6,0
278,7,267353.03,9,1184,5,13,0
279,7,130891.02,8,1220,8,17,1
280,7,80716.88,4,1240,9,19,0
281,7,118156.52,6,1330,9,26,0
282,7,222395.10,7,1257,8,20,0
283,7,39248.03,2,1004,1,1,0
284,7,201350.94,7,1057,5,5,0
285,7,86861.99,4,1201,6,14,0
286,7,121155.64,7,1118,8,9,0
287,7,153791.08,7,1125,9,11,0
288,7,234412.78,8,1236,9,18,0
289,7,148487.20,7,1021,3,3,1
290,7,74266.46,2,1122,9,10,0
291,7,176615.72,7,1157,7,12,0
292,7,107910.27,4,1261,9,21,0
293,7,164038.55,5,1202,6,15,0
294,7,255747.58,8,987,0,0,1
295,7,150971.19,6,1081,8,8,0
296,7,183324.23,8,1334,10,27,1
297,7,141410.59,3,1204,7,16,0
298,7,129034.76,4,1274,10,22,0
299,7,105233.08,7,1283,10,23,0
300,7,145231.79,7,1022,4,4,0
301,7,149830.46,5,1306,10,24,0
302,8,120803.04,5,1256,10,43,0
303,8,34682.29,5,1124,20,29,0
304,8,253800.88,7,1117,22,28,0
305,8,217493.21,8,1113,20,26,0
306,8,95045.30,9,1295,14,51,0
307,8,368050.64,9,965,1,1,0
308,8,248933.04,9,1002,7,7,1
309,8,99970.74,3,1033,12,12,0
310,8,157991.60,4,1189,21,38,0
311,8,109228.26,5,1002,7,7,0
312,8,184158.73,9,1124,20,29,0
313,8,171615.27,7,972,2,2,0
314,8,132013.43,9,1310,14,53,0
315,8,177556.96,7,1027,11,11,0
316,8,194637.25,5,1301,14,52,0
317,8,283415.59,8,1020,10,10,0
318,8,222726.88,8,1084,18,19,0
319,8,115118.40,3,1151,21,33,0
320,8,255861.76,9,1083,17,18,0
321,8,172047.08,8,962,0,0,0
322,8,205002.11,8,1094,20,23,0
323,8,156660.90,2,1217,15,40,0
324,8,88370.84,4,1113,20,26,0
325,8,161999.55,7,992,5,5,0
326,8,134834.72,3,1290,14,50,0
327,8,113123.83,4,1134,22,32,0
328,8,50007.93,3,988,4,4,0
329,8,165073.47,3,1066,16,16,0
330,8,262769.67,9,1310,14,53,0
331,8,19547.44,2,1285,12,48,0
332,8,89637.69,3,1087,18,20,0
333,8,67177.17,2,1274,12,46,0
334,8,85002.19,9,1090,19,21,0
335,8,117717.20,3,1004,9,9,0
336,8,79967.78,4,1093,19,22,0
337,8,190359.73,6,1060,15,15,0
338,8,264915.23,6,1260,11,44,0
339,8,55394.22,3,1127,21,31,0
340,8,46179.15,2,1102,22,25,0
341,8,105214.53,4,1230,15,41,0
342,8,93170.35,4,1094,20,23,0
343,8,122659.69,7,1249,10,42,0
344,8,86933.65,6,1278,13,47,0
345,8,6620.28,2,1208,18,39,0
346,8,26042.13,5,1287,13,49,0
347,8,54057.68,2,1075,17,17,0
348,8,27613.08,3,1036,13,13,0
349,8,240784.88,7,986,3,3,0
350,8,272476.07,7,1262,12,45,0
351,8,162636.16,4,1000,6,6,0
352,8,222672.29,8,1170,21,36,0
353,8,216361.23,8,1040,14,14,0
354,8,133626.70,9,1159,20,34,0
355,8,238467.65,7,1161,20,35,0
356,8,160904.82,7,1177,22,37,0
357,9,97708.79,5,1172,1,3,0
358,9,340500.59,9,1098,0,2,1
359,9,87148.66,4,895,0,0,0
360,9,217092.55,8,1183,2,4,1
361,9,179503.42,4,922,1,1,0
362,9,45802.45,2,1183,2,4,0
363,10,69101.47,4,782,16,16,0
364,10,151254.93,6,769,8,8,0
365,10,67586.16,4,878,26,32,0
366,10,265862.91,9,918,19,39,0
367,10,165494.41,9,740,2,2,0
368,10,293770.10,9,793,18,18,0
369,10,120847.39,8,889,26,34,0
370,10,197451.05,7,1071,14,64,0
371,10,155396.29,4,983,24,53,0
372,10,26651.82,2,807,22,22,0
373,10,96529.48,3,1082,18,68,0
374,10,106612.41,5,862,25,28,0
375,10,126610.20,3,940,22,47,0
376,10,62973.52,4,928,20,43,0
377,10,178092.20,7,1063,15,63,0
378,10,43639.88,2,794,19,19,0
379,10,112947.80,7,812,24,24,0
380,10,90998.92,5,827,25,25,0
381,10,156680.35,7,934,21,46,0
382,10,336611.18,8,781,15,15,0
383,10,101431.21,5,1086,22,72,0
384,10,172910.60,8,758,6,6,0
385,10,272935.80,5,1058,14,61,0
386,10,129710.54,3,739,1,1,0
387,10,15049.23,2,742,3,3,0
388,10,243550.74,8,929,21,44,0
389,10,212173.35,8,746,4,4,0
390,10,48630.24,2,779,12,12,0
391,10,45677.75,2,1060,15,62,0
392,10,64143.37,7,1085,21,71,0
393,10,230387.38,7,924,20,42,0
394,10,55068.25,6,1084,20,70,0
395,10,90943.32,6,943,23,48,0
396,10,168386.20,6,998,23,55,0
397,10,130165.33,5,809,23,23,0
398,10,163150.88,7,950,23,49,0
399,10,92813.78,8,898,23,35,0
400,10,34378.61,3,1034,20,59,0
401,10,121362.04,7,901,21,36,0
402,10,38443.29,2,979,24,52,0
403,10,100223.73,6,780,13,13,0
404,10,51400.72,2,1007,22,56,0
405,10,211705.67,8,782,16,16,0
406,10,285490.75,9,885,25,33,0
407,10,68568.00,3,1095,22,74,0
408,10,41521.50,2,855,27,27,0
409,10,68729.45,2,735,0,0,0
410,10,144230.58,4,773,10,10,0
411,10,33689.33,2,849,26,26,0
412,10,52893.00,3,911,20,38,0
413,10,7910.76,3,773,10,10,0
414,10,100265.20,4,970,23,50,0
415,10,196189.46,7,867,23,29,0
416,10,219604.84,8,870,24,30,0
417,10,97838.85,5,746,4,4,0
418,10,60056.65,4,801,21,21,0
419,10,9595.72,2,770,9,9,0
420,10,164775.63,9,780,13,13,0
421,10,248176.00,9,1083,19,69,0
422,10,215196.56,5,973,24,51,0
423,10,86214.17,5,1076,15,65,0
424,10,150283.79,6,986,25,54,0
425,10,99118.27,5,1091,22,73,0
426,10,90970.77,3,798,20,20,0
427,10,174609.99,9,763,7,7,0
428,10,9399.89,2,1007,22,56,0
429,10,196950.46,9,874,25,31,0
430,10,174121.26,4,1081,17,67,0
431,10,107263.78,6,930,21,45,0
432,10,54878.39,4,1018,23,58,0
433,10,250373.15,7,920,19,40,0
434,10,80615.40,2,901,21,36,0
435,10,123075.08,6,1076,15,65,0
436,10,305552.28,8,921,20,41,0
437,10,61063.75,6,1057,13,60,0
438,11,208452.87,9,832,15,38,0
439,11,239230.84,7,663,12,12,0
440,11,228346.69,8,785,17,30,0
441,11,139851.02,7,672,14,14,0
442,11,274620.39,9,748,17,24,0
443,11,173816.74,7,611,4,4,0
444,11,154866.42,7,645,7,7,0
445,11,244050.75,9,902,16,46,0
446,11,97973.70,5,701,18,19,0
447,11,73158.49,5,763,20,27,0
448,11,80918.44,9,711,19,22,0
449,11,35758.49,3,669,13,13,0
450,11,134855.00,7,762,19,26,0
451,11,82649.97,5,708,19,21,0
452,11,134270.64,6,652,8,8,0
453,11,175934.82,7,695,16,16,0
454,11,189064.98,7,706,18,20,0
455,11,20173.93,2,819,18,36,0
456,11,43242.57,2,829,15,37,0
457,11,167793.01,8,608,3,3,0
458,11,181864.68,8,896,13,43,0
459,11,278221.45,8,662,10,10,0
460,11,124416.97,5,789,19,32,0
461,11,115301.20,8,695,16,16,0
462,11,389557.17,8,846,16,40,0
463,11,56271.30,3,583,1,1,0
464,11,78358.51,3,925,14,50,0
465,11,114440.28,5,876,16,41,0
466,11,159837.48,8,613,5,5,0
467,11,196558.88,9,903,17,47,0
468,11,250448.71,5,626,6,6,0
469,11,52758.60,4,844,15,39,0
470,11,136954.82,5,793,18,33,0
471,11,100586.86,4,662,10,10,0
472,11,128826.39,4,765,21,28,0
473,11,161753.03,6,653,9,9,0
474,11,15735.27,2,589,2,2,0
475,11,226472.20,8,675,15,15,0
476,11,197093.28,7,897,14,44,0
477,11,111652.63,4,774,19,29,0
478,11,298848.18,6,804,19,35,0
479,11,369223.03,8,786,18,31,0
480,11,161116.16,7,757,18,25,0
481,11,88417.14,5,921,14,49,0
482,11,89694.85,5,576,0,0,0
483,11,48767.94,3,900,15,45,0
484,11,142255.28,4,883,15,42,0
485,11,16273.66,2,700,17,18,0
486,11,245662.22,8,793,18,33,0
487,11,137706.35,3,914,13,48,0
488,11,201340.98,4,718,20,23,0
489,12,179474.59,6,1193,14,25,0
490,12,26675.20,3,1171,13,24,0
491,12,107410.76,6,1294,10,35,0
492,12,326854.52,6,986,2,2,0
493,12,236503.39,8,1283,11,34,0
494,12,253456.68,7,1121,12,18,0
495,12,115018.35,8,1009,6,6,0
496,12,189862.00,8,1119,10,16,1
497,12,225345.73,6,1152,13,22,0
498,12,95904.96,6,975,1,1,0
499,12,99194.93,4,1324,10,36,0
500,12,63063.46,5,1247,12,32,0
501,12,154866.56,9,1087,13,13,0
502,12,152036.34,8,1241,12,30,0
503,12,92631.75,5,1122,13,19,0
504,12,179661.99,8,1032,9,9,0
505,12,27259.86,3,968,0,0,0
506,12,183935.56,9,1327,12,38,0
507,12,188714.18,6,1146,12,20,0
508,12,142583.73,5,991,4,4,0
509,12,128286.18,3,1119,10,16,0
510,12,178084.24,6,1221,11,26,0
511,12,98180.84,5,1021,7,7,0
512,12,193728.24,6,997,5,5,0
513,12,154720.76,6,1239,13,29,0
514,12,201565.63,7,1084,11,11,0
515,12,35922.38,2,1325,11,37,0
516,12,155152.22,8,1041,10,10,1
517,12,222562.40,6,1028,8,8,0
518,12,8642.27,2,990,3,3,0
519,12,57471.75,5,1244,11,31,0
520,12,79073.11,3,1267,12,33,0
521,12,50607.88,2,1109,12,15,0
522,12,61497.33,2,1084,11,11,0
523,12,126049.39,3,1148,13,21,0
524,12,130998.07,4,1100,12,14,0
525,12,25023.34,2,1163,12,23,0
526,12,245930.73,9,1232,11,27,0
527,12,83410.55,7,1238,12,28,0
528,13,104181.32,5,581,18,26,0
529,13,192612.31,8,506,18,18,0
530,13,131683.06,8,618,17,32,0
531,13,74206.34,3,496,14,14,0
532,13,55027.77,3,475,9,9,0
533,13,171417.70,6,504,16,16,0
534,13,80207.52,5,442,2,2,0
535,13,203408.78,8,488,12,12,0
536,13,74212.12,2,632,14,34,0
537,13,88103.29,5,498,15,15,0
538,13,26693.77,3,545,20,21,0
539,13,76904.17,2,495,13,13,0
540,13,220632.21,7,661,16,37,0
541,13,170851.88,8,752,20,54,0
542,13,44234.77,4,655,15,36,0
543,13,103322.40,5,608,18,30,0
544,13,92784.66,4,559,21,23,0
545,13,157026.65,7,511,19,19,0
546,13,216215.81,7,430,1,1,0
547,13,90021.37,5,715,22,50,0
548,13,240341.56,9,729,20,51,0
549,13,30657.11,4,694,21,47,0
550,13,243097.51,6,685,19,44,0
551,13,27177.73,2,636,15,35,0
552,13,36868.64,5,444,3,3,0
553,13,195975.61,8,687,19,45,0
554,13,140528.54,7,592,19,27,0
555,13,31106.01,2,451,4,4,0
556,13,316397.97,8,565,21,25,0
557,13,121317.53,4,400,0,0,0
558,13,197116.61,9,742,19,53,0
559,13,181045.83,8,550,21,22,0
560,13,225763.22,8,671,19,42,0
561,13,141155.41,7,662,18,39,0
562,13,115940.09,2,666,19,41,0
563,13,74307.30,3,665,19,40,0
564,13,84397.21,4,730,21,52,0
565,13,195794.82,3,458,7,7,0
566,13,281929.60,9,661,16,37,0
567,13,158169.12,9,693,20,46,0
568,13,32442.02,3,606,17,29,0
569,13,184046.37,9,472,8,8,0
570,13,134516.57,8,453,5,5,0
571,13,259251.50,7,564,21,24,1
572,13,172243.27,6,711,22,49,0
573,13,133387.83,5,454,6,6,0
574,13,145602.45,4,505,17,17,0
575,13,137776.67,5,480,11,11,0
576,13,63464.49,3,699,22,48,0
577,13,205734.35,9,621,17,33,0
578,13,105723.67,3,596,18,28,0
579,13,223437.51,6,527,19,20,0
580,13,120326.62,6,615,18,31,0
581,13,215657.61,9,683,19,43,0
582,13,144871.20,4,479,10,10,0
583,14,104459.58,5,548,0,0,1
584,14,141449.53,6,832,3,7,1
585,14,122168.49,4,744,3,5,1
586,14,219446.66,9,836,4,8,1
587,14,262256.04,8,706,1,3,1
588,14,172469.70,6,737,2,4,1
589,14,293789.31,8,769,4,6,1
590,14,105789.01,8,870,3,9,1
591,14,79141.74,4,680,1,2,1
592,14,39702.69,2,568,1,1,1
593,15,56471.57,3,1203,22,41,0
594,15,90936.27,3,1031,6,6,0
595,15,147326.29,5,1188,20,37,0
596,15,80458.05,4,1019,4,4,0
597,15,126073.65,8,1033,7,7,0
598,15,71009.00,6,1091,20,20,0
599,15,54130.40,4,1084,19,19,0
600,15,291992.57,9,1287,32,64,0
601,15,79495.01,4,1040,12,12,0
602,15,155389.54,4,1105,25,25,0
603,15,49040.64,7,1315,29,69,0
604,15,155042.69,5,1037,9,9,1
605,15,159098.09,8,986,0,0,0
606,15,101881.46,4,1177,17,32,0
607,15,168257.04,8,1298,35,68,0
608,15,80186.04,4,1183,19,35,0
609,15,120989.22,2,1237,26,52,0
610,15,410846.46,9,1207,23,43,0
611,15,153448.73,7,1213,24,47,0
612,15,186456.81,6,1063,16,16,0
613,15,60455.03,2,1045,13,13,0
614,15,167078.18,9,1256,30,56,0
615,15,146127.51,7,1091,20,20,0
616,15,80590.82,9,1236,25,51,1
617,15,110877.77,4,1038,11,11,0
618,15,172813.72,8,1266,33,59,0
619,15,176347.08,6,1160,16,28,0
620,15,81934.80,5,1028,5,5,0
621,15,282674.03,9,1274,35,63,0
622,15,192526.47,9,1184,19,36,1
623,15,43406.78,3,1347,25,75,0
624,15,147572.07,7,1182,18,34,0
625,15,79003.55,5,1347,25,75,0
626,15,248076.21,9,1203,22,41,0
627,15,154226.46,5,1192,21,39,0
628,15,116318.01,4,1262,32,58,0
629,15,175452.85,5,1291,33,65,0
630,15,42650.48,2,1037,9,9,0
631,15,141789.35,5,1016,3,3,0
632,15,55279.11,4,1099,23,23,0
633,15,140086.10,6,1238,27,53,0
634,15,45859.04,2,1166,16,30,0
635,15,26762.41,4,1146,21,26,0
636,15,31599.46,3,1233,24,50,0
637,15,124080.93,4,1269,33,61,0
638,15,61249.69,4,1222,25,49,0
639,15,31397.86,3,1104,24,24,0
640,15,237175.86,9,1208,25,45,1
641,15,268041.56,8,1189,21,38,0
642,15,216852.69,6,1035,8,8,0
643,15,157631.99,8,1207,23,43,0
644,15,170132.81,3,1291,33,65,0
645,15,45291.60,2,1215,25,48,0
646,15,260340.88,5,1051,14,14,0
647,15,53897.85,3,1178,18,33,0
648,15,194075.10,8,1148,22,27,0
649,15,219286.99,7,1166,16,30,0
650,15,143947.77,4,1059,15,15,0
651,15,143124.15,5,1293,35,67,0
652,15,87626.08,8,1076,18,18,0
653,15,135271.49,7,1323,30,71,0
654,15,168386.37,9,1258,31,57,1
655,15,110266.09,5,1248,29,55,0
656,15,146349.79,8,1200,21,40,0
657,15,243759.40,8,1267,33,60,0
658,15,139061.83,8,1320,30,70,0
659,15,75734.70,2,1336,24,73,0
660,15,34269.08,3,1238,27,53,0
661,15,50967.70,3,1212,23,46,0
662,15,64803.02,3,1002,2,2,0
663,15,287945.53,6,1071,17,17,0
664,15,346195.03,8,1347,25,75,0
665,15,179968.56,7,1335,24,72,0
666,15,198927.75,6,1344,24,74,0
667,15,265696.08,9,1162,16,29,0
668,15,62378.55,5,1273,34,62,0
669,15,62847.27,4,988,1,1,0
670,15,144711.00,4,1091,20,20,0
671,16,227759.25,7,1025,25,48,0
672,16,14876.69,2,1079,24,57,0
673,16,86937.36,2,891,20,22,0
674,16,28533.64,2,1068,25,55,0
675,16,153733.71,8,1092,23,58,0
676,16,59637.07,3,922,17,25,0
677,16,153511.66,6,1005,21,41,0
678,16,73539.90,3,791,6,6,0
679,16,86501.10,5,1050,25,52,0
680,16,338753.55,9,769,1,1,0
681,16,273718.43,8,824,10,10,0
682,16,236881.85,8,1124,21,62,0
683,16,58044.29,2,1099,23,59,0
684,16,209248.28,7,778,3,3,0
685,16,140711.52,8,950,18,30,0
686,16,50252.39,2,774,2,2,0
687,16,175598.47,7,884,19,19,0
688,16,66320.78,2,917,17,24,0
689,16,142955.22,8,1112,22,61,0
690,16,100640.80,8,876,18,18,0
691,16,87262.12,3,1011,23,45,0
692,16,87648.50,4,984,20,37,0
693,16,16870.11,2,943,19,29,0
694,16,93337.21,2,826,11,11,0
695,16,9191.87,2,980,20,36,0
696,16,83308.47,2,808,9,9,0
697,16,58171.32,4,935,18,28,0
698,16,168094.26,7,831,12,12,0
699,16,164243.21,7,861,16,16,0
700,16,315108.00,8,1036,26,50,0
701,16,25708.42,3,890,19,21,0
702,16,170929.64,7,953,19,32,0
703,16,110841.07,4,848,13,13,0
704,16,160510.58,4,1064,24,54,0
705,16,80440.33,4,1043,25,51,0
706,16,141646.22,2,1104,23,60,0
707,16,102992.87,6,1006,22,42,0
708,16,43993.05,2,1018,23,46,0
709,16,193555.09,8,849,14,14,0
